STEVAL-MKI243A (ASM330LHHXG1)

A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	A_X [deg] 	 A_Y [deg] 	 A_Z [deg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	TEMP [C] 	
-52.948 	 -193.187 	 998.57 	-2 	 -10 	 79 	0.8225 	 -1.225 	 -0.49 	29.2 	
-52.582 	 -197.03 	 1003.45 	-2 	 -11 	 79 	0.735 	 -1.365 	 -0.53375 	29.2 	
-53.985 	 -200.934 	 1005.65 	-3 	 -11 	 78 	0.63875 	 -1.18125 	 -0.56 	29.2 	
-53.436 	 -195.688 	 1007.23 	-2 	 -10 	 79 	0.7175 	 -1.09375 	 -0.7 	29.2 	
-53.009 	 -196.176 	 1006.5 	-2 	 -11 	 79 	0.5425 	 -1.12 	 -0.665 	29.2 	
-50.264 	 -199.775 	 1000.4 	-2 	 -11 	 78 	0.77 	 -1.23375 	 -0.67375 	29.2 	
-47.946 	 -190.137 	 996.984 	-2 	 -10 	 79 	0.98 	 -1.12875 	 -0.62125 	29.2 	
-49.654 	 -191.54 	 994.971 	-2 	 -10 	 79 	0.69125 	 -1.0325 	 -0.5075 	29.2 	
-49.044 	 -198.555 	 997.228 	-2 	 -11 	 78 	0.56875 	 -1.21625 	 -0.56875 	29.2 	
-46.482 	 -191.784 	 998.265 	-2 	 -10 	 79 	0.60375 	 -1.23375 	 -0.665 	29.2 	
-43.615 	 -189.161 	 1007.17 	-2 	 -10 	 79 	0.55125 	 -1.26875 	 -0.67375 	29.2 	
-44.835 	 -199.592 	 1012.6 	-2 	 -11 	 79 	0.49 	 -1.085 	 -0.56875 	29.2 	
-44.652 	 -194.346 	 1009.67 	-2 	 -10 	 79 	1.015 	 -0.93625 	 -0.6125 	29.2 	
-44.469 	 -186.416 	 1004 	-2 	 -10 	 79 	0.84 	 -1.1025 	 -0.62125 	29.2 	
-41.663 	 -190.747 	 996.984 	-2 	 -10 	 79 	0.74375 	 -1.12 	 -0.56 	29.2 	
-41.48 	 -190.686 	 993.934 	-2 	 -10 	 79 	0.7875 	 -1.12 	 -0.5425 	29.2 	
-40.626 	 -184.159 	 998.936 	-2 	 -10 	 79 	0.72625 	 -1.23375 	 -0.51625 	29.2 	
-41.602 	 -189.893 	 1003.63 	-2 	 -10 	 79 	0.53375 	 -1.28625 	 -0.5425 	29.2 	
-41.236 	 -193.675 	 1008.02 	-2 	 -10 	 79 	0.56 	 -1.19 	 -0.55125 	29.2 	
-40.382 	 -189.832 	 1008.45 	-2 	 -10 	 79 	0.805 	 -1.1025 	 -0.525 	29.2 	
-40.443 	 -189.1 	 1009.31 	-2 	 -10 	 79 	0.63875 	 -1.09375 	 -0.55125 	29.2 	
-42.7 	 -190.747 	 1006.01 	-2 	 -10 	 79 	0.83125 	 -1.015 	 -0.5075 	29.2 	
-44.286 	 -186.66 	 1000.34 	-2 	 -10 	 79 	0.875 	 -1.12875 	 -0.5775 	29.2 	
-43.432 	 -185.684 	 994.483 	-2 	 -10 	 79 	0.77 	 -1.155 	 -0.525 	29.2 	
-41.724 	 -189.1 	 996.496 	-2 	 -10 	 79 	0.63875 	 -1.26 	 -0.46375 	29.2 	
-44.469 	 -189.039 	 1002.72 	-2 	 -10 	 79 	0.67375 	 -1.21625 	 -0.53375 	29.2 	
-43.92 	 -190.32 	 1006.74 	-2 	 -10 	 79 	0.67375 	 -1.16375 	 -0.56 	29.2 	
-43.92 	 -190.686 	 1008.39 	-2 	 -10 	 79 	0.53375 	 -1.14625 	 -0.53375 	29.2 	
-45.628 	 -193.004 	 1007.17 	-2 	 -10 	 79 	0.65625 	 -1.04125 	 -0.53375 	29.2 	
-46.543 	 -187.88 	 1002.23 	-2 	 -10 	 79 	0.91875 	 -1.015 	 -0.62125 	29.2 	
-44.042 	 -189.954 	 1000.58 	-2 	 -10 	 79 	0.84875 	 -1.1025 	 -0.58625 	29.2 	
-43.798 	 -191.479 	 998.631 	-2 	 -10 	 79 	0.7525 	 -1.0675 	 -0.665 	29.2 	
-43.127 	 -192.699 	 999.607 	-2 	 -10 	 79 	0.805 	 -1.1725 	 -0.65625 	29.2 	
-45.872 	 -192.455 	 1002.96 	-2 	 -10 	 79 	0.72625 	 -1.1375 	 -0.65625 	29.2 	
-44.896 	 -194.346 	 1007.9 	-2 	 -10 	 79 	0.63 	 -0.9975 	 -0.65625 	29.2 	
-45.933 	 -196.054 	 1005.89 	-2 	 -11 	 79 	0.6475 	 -1.2425 	 -0.58625 	29.2 	
-43.493 	 -193.126 	 1005.04 	-2 	 -10 	 79 	0.8225 	 -1.19 	 -0.6475 	29.2 	
-43.981 	 -193.431 	 1001.56 	-2 	 -10 	 79 	0.70875 	 -1.1375 	 -0.69125 	29.2 	
-45.75 	 -194.346 	 999.485 	-2 	 -10 	 79 	0.77 	 -1.225 	 -0.65625 	29.2 	
-45.628 	 -191.845 	 998.448 	-2 	 -10 	 79 	0.91 	 -1.1375 	 -0.60375 	29.2 	
-44.225 	 -192.394 	 1002.05 	-2 	 -10 	 79 	0.7 	 -1.2075 	 -0.595 	29.2 	
-44.103 	 -196.054 	 1000.77 	-2 	 -11 	 79 	0.5075 	 -1.1375 	 -0.56 	29.2 	
-44.469 	 -193.004 	 1004.61 	-2 	 -10 	 79 	0.665 	 -1.18125 	 -0.4375 	29.2 	
-46.482 	 -194.041 	 1005.95 	-2 	 -10 	 79 	0.49 	 -1.12875 	 -0.49875 	29.2 	
-46.299 	 -195.322 	 1005.95 	-2 	 -10 	 79 	0.5425 	 -1.085 	 -0.5075 	29.2 	
-46.97 	 -194.895 	 1003.27 	-2 	 -10 	 79 	0.86625 	 -1.155 	 -0.4375 	29.2 	
-45.75 	 -192.455 	 1000.03 	-2 	 -10 	 79 	0.70875 	 -1.19 	 -0.5075 	29.2 	
-46.238 	 -193.248 	 997.96 	-2 	 -10 	 79 	0.7175 	 -1.23375 	 -0.56 	29.2 	
-49.532 	 -194.834 	 1002.11 	-2 	 -10 	 79 	0.74375 	 -1.04125 	 -0.49875 	29.2 	
-46.543 	 -193.248 	 1002.53 	-2 	 -10 	 79 	0.77875 	 -1.1725 	 -0.35 	29.2 	
-47.031 	 -194.895 	 1004.61 	-2 	 -10 	 79 	0.67375 	 -1.2075 	 -0.42 	29.2 	
-47.397 	 -194.712 	 1006.32 	-2 	 -10 	 79 	0.58625 	 -1.19 	 -0.44625 	29.2 	
-46.97 	 -193.492 	 1001.86 	-2 	 -10 	 79 	0.63875 	 -1.19 	 -0.455 	29.2 	
-44.408 	 -191.784 	 1002.6 	-2 	 -10 	 79 	0.63875 	 -1.015 	 -0.55125 	29.2 	
-44.286 	 -191.601 	 1000.7 	-2 	 -10 	 79 	0.65625 	 -1.11125 	 -0.56 	29.2 	
-43.92 	 -191.784 	 1003.39 	-2 	 -10 	 79 	0.70875 	 -1.16375 	 -0.56875 	29.3 	
-43.676 	 -190.015 	 1003.57 	-2 	 -10 	 79 	0.65625 	 -1.1725 	 -0.53375 	29.3 	
-41.907 	 -190.076 	 1004.61 	-2 	 -10 	 79 	0.76125 	 -1.14625 	 -0.49 	29.3 	
-40.748 	 -190.869 	 1005.22 	-2 	 -10 	 79 	0.665 	 -1.225 	 -0.49875 	29.3 	
-41.053 	 -189.466 	 1004.18 	-2 	 -10 	 79 	0.72625 	 -1.1025 	 -0.55125 	29.3 	
-39.467 	 -191.174 	 1002.41 	-2 	 -10 	 79 	0.7175 	 -1.16375 	 -0.62125 	29.3 	
-38.796 	 -188.49 	 1002.29 	-2 	 -10 	 79 	0.69125 	 -1.2075 	 -0.51625 	29.3 	
-37.759 	 -189.771 	 1002.6 	-2 	 -10 	 79 	0.84875 	 -1.23375 	 -0.525 	29.3 	
-38.247 	 -189.344 	 1003.14 	-2 	 -10 	 79 	0.62125 	 -1.19 	 -0.39375 	29.2 	
-37.149 	 -189.527 	 1004.3 	-2 	 -10 	 79 	0.735 	 -1.19875 	 -0.5075 	29.2 	
-37.393 	 -188.612 	 1002.78 	-2 	 -10 	 79 	0.7175 	 -1.1025 	 -0.48125 	29.2 	
-35.746 	 -189.039 	 1004.43 	-2 	 -10 	 79 	0.6825 	 -1.1375 	 -0.55125 	29.2 	
-37.698 	 -189.283 	 1003.57 	-2 	 -10 	 79 	0.63 	 -1.23375 	 -0.5425 	29.2 	
-39.162 	 -188.368 	 1001.56 	-2 	 -10 	 79 	0.8225 	 -1.16375 	 -0.525 	29.2 	
-37.942 	 -190.503 	 1002.66 	-2 	 -10 	 79 	0.84 	 -1.12 	 -0.41125 	29.2 	
-40.26 	 -190.442 	 1001.68 	-2 	 -10 	 79 	0.70875 	 -1.1375 	 -0.4725 	29.2 	
